filename,sha256,tags,Report_link
"DUI70.dll","ab1071c25ce763072f6b85302a83024833e724ffc51075da5bf915860a674874","apt,exe,Lazarus","https://bazaar.abuse.ch/sample/ab1071c25ce763072f6b85302a83024833e724ffc51075da5bf915860a674874/"
"localfile~.arm64","a4cab67569d0b35c249dc536fb25dabdc12839ed4e945c59ec826c0a241b792a","apt,Lazarus,machO,signed","https://bazaar.abuse.ch/sample/a4cab67569d0b35c249dc536fb25dabdc12839ed4e945c59ec826c0a241b792a/"
"localfile~.x64","48ee5d0d44a015876d867fa515b04c1998fecf19badcbd69f4f3fa8497d57215","apt,Lazarus,machO,signed","https://bazaar.abuse.ch/sample/48ee5d0d44a015876d867fa515b04c1998fecf19badcbd69f4f3fa8497d57215/"
"AwesomeTemplate","176e8a5a7b6737f8d3464c18a77deef778ec2b9b42b7e7eafc888aeaf2758c2d","apt,Lazarus,machO","https://bazaar.abuse.ch/sample/176e8a5a7b6737f8d3464c18a77deef778ec2b9b42b7e7eafc888aeaf2758c2d/"
"Voov meeting (portable).zip","9111d458d5665b1bf463859792e950fe8d8186df9a6a3241360dc11f34d018c2","apt,gz,Lazarus","https://bazaar.abuse.ch/sample/9111d458d5665b1bf463859792e950fe8d8186df9a6a3241360dc11f34d018c2/"
"3fc65a.msi","118c1187c5b37ab9c4f9f39500d777c0a914c379d853439608157379dcb71772","Lazarus,msi","https://bazaar.abuse.ch/sample/118c1187c5b37ab9c4f9f39500d777c0a914c379d853439608157379dcb71772/"
"782aadc761381ec79e8d01a5ed4d13ae6089661ff2517c88e6de6d6eb2c89cab","782aadc761381ec79e8d01a5ed4d13ae6089661ff2517c88e6de6d6eb2c89cab","exe,Lazarus","https://bazaar.abuse.ch/sample/782aadc761381ec79e8d01a5ed4d13ae6089661ff2517c88e6de6d6eb2c89cab/"
"95dc085b0fea4a8d80df11ba1409a2df89ca97d980ba3dcf8e90d31e9d3fd533","95dc085b0fea4a8d80df11ba1409a2df89ca97d980ba3dcf8e90d31e9d3fd533","exe,Lazarus","https://bazaar.abuse.ch/sample/95dc085b0fea4a8d80df11ba1409a2df89ca97d980ba3dcf8e90d31e9d3fd533/"
"742dffa013cf70348bc2c176988944ff6fa60b8e02c6c69f4f8fdd04209a31f1.dll","742dffa013cf70348bc2c176988944ff6fa60b8e02c6c69f4f8fdd04209a31f1","exe,Lazarus,NukeSped","https://bazaar.abuse.ch/sample/742dffa013cf70348bc2c176988944ff6fa60b8e02c6c69f4f8fdd04209a31f1/"
"beaver-tail.py","47830f7007b4317dc8ce1b16f3ae79f9f7e964db456c34e00473fba94bb713eb","BeaverTail,Lazarus,py","https://bazaar.abuse.ch/sample/47830f7007b4317dc8ce1b16f3ae79f9f7e964db456c34e00473fba94bb713eb/"
"FCCCall.exe","0d8119f01d727beacbe6fe877541b3c11b084ffdc53c8bae436aca3dbc197076","95-164-17-24,apt,exe,Lazarus","https://bazaar.abuse.ch/sample/0d8119f01d727beacbe6fe877541b3c11b084ffdc53c8bae436aca3dbc197076/"
"datatmp.dll","f7559f6d4346f412c2c4ea18363efba3075345b7533af9964298803ffe75f919","apt,exe,Lazarus,TebletPCcpl","https://bazaar.abuse.ch/sample/f7559f6d4346f412c2c4ea18363efba3075345b7533af9964298803ffe75f919/"
"report (2).sys","dd038040283793c67cd50252fb9ef20eb07e2f36d284f70cb2340e501dcb99d7","apt,Lazarus,sys,TebletPCcpl","https://bazaar.abuse.ch/sample/dd038040283793c67cd50252fb9ef20eb07e2f36d284f70cb2340e501dcb99d7/"
"report.sys","212819a726607b7c1c785021ac4f064dcc2726cfd64b87517fd0ae222233484d","apt,Lazarus,sys,TebletPCcpl","https://bazaar.abuse.ch/sample/212819a726607b7c1c785021ac4f064dcc2726cfd64b87517fd0ae222233484d/"
"TebletPC.cpl","3767cdb3799f31ad88e272927af6c7b80e742da93cd5f66f07a6eff0bd7219f7","apt,exe,Lazarus,TebletPCcpl","https://bazaar.abuse.ch/sample/3767cdb3799f31ad88e272927af6c7b80e742da93cd5f66f07a6eff0bd7219f7/"
"pconsnap.dll","4f9ef9f4b90d8e0928a36369e90d912b1f4a3b5afc173cddecb1790aa06cdc74","apt,exe,Lazarus","https://bazaar.abuse.ch/sample/4f9ef9f4b90d8e0928a36369e90d912b1f4a3b5afc173cddecb1790aa06cdc74/"
"NVUnityPlugin.dll","09d152aa2b6261e3b0a1d1c19fa8032f215932186829cfcca954cc5e84a6cc38","apt,exe,Lazarus,PAK","https://bazaar.abuse.ch/sample/09d152aa2b6261e3b0a1d1c19fa8032f215932186829cfcca954cc5e84a6cc38/"
"DUI70.dll","5289529957d52c9d5fc2e47aa9924fd1de21b902509dee0241d5d6b056733a94","exe,Lazarus","https://bazaar.abuse.ch/sample/5289529957d52c9d5fc2e47aa9924fd1de21b902509dee0241d5d6b056733a94/"
"os_helper","bfd74b4a1b413fa785a49ca4a9c0594441a3e01983fc7f86125376fdbd4acf6b","Lazarus,machO,SimpleTea","https://bazaar.abuse.ch/sample/bfd74b4a1b413fa785a49ca4a9c0594441a3e01983fc7f86125376fdbd4acf6b/"
"VNCViewer.exe","b557fa6a92e1ecd768aa723258cb453beb6597c583dbe76d8e82ffdf392f5932","exe,Lazarus","https://bazaar.abuse.ch/sample/b557fa6a92e1ecd768aa723258cb453beb6597c583dbe76d8e82ffdf392f5932/"
"IBM IT SA.zip","ff3443026d5b3f8325bcafef9b1fcc3f7f6a2ca8c615f961b97d1f760c14f4e0","Lazarus,zip","https://bazaar.abuse.ch/sample/ff3443026d5b3f8325bcafef9b1fcc3f7f6a2ca8c615f961b97d1f760c14f4e0/"
"sql.tmp.dll","aec915753612bb003330ce7ffc67cfa9d7e3c12310f0ecfd0b7e50abf427989a","apt,exe,Lazarus","https://bazaar.abuse.ch/sample/aec915753612bb003330ce7ffc67cfa9d7e3c12310f0ecfd0b7e50abf427989a/"
"46127a35b73b714a9c5c58aaa43cb51f.dll","b4c8c149005a43ae043038d4d62631dc1a0f57514c7cbf4f7726add7ec67981a","apt,exe,Lazarus","https://bazaar.abuse.ch/sample/b4c8c149005a43ae043038d4d62631dc1a0f57514c7cbf4f7726add7ec67981a/"
"dumped.exe.dll","be738fec40c2f6e6a818797c55819e3b01147b0a5e8dcb4c5e1238cffcef95cd","apt,exe,Lazarus","https://bazaar.abuse.ch/sample/be738fec40c2f6e6a818797c55819e3b01147b0a5e8dcb4c5e1238cffcef95cd/"
"usrgroup.dat.dll","00433ebf3b21c1c055d4ab8a599d3e84f03b328496236b54e56042cef2146b1c","apt,exe,Lazarus","https://bazaar.abuse.ch/sample/00433ebf3b21c1c055d4ab8a599d3e84f03b328496236b54e56042cef2146b1c/"
"edca71eda8650a2c591c37c780b6a0c5.dll","db846642c1c1872c6713a4194c4dcc8a8d272ff1bf0bcacc1ca1bdc3da6bc42b","apt,exe,LazarLoader,Lazarus","https://bazaar.abuse.ch/sample/db846642c1c1872c6713a4194c4dcc8a8d272ff1bf0bcacc1ca1bdc3da6bc42b/"
"PuTTY.exe","4b94270d77479578ce5d88659bc8e76024c8456578392a341971fbe006e01963","exe,Lazarus,Metasploit","https://bazaar.abuse.ch/sample/4b94270d77479578ce5d88659bc8e76024c8456578392a341971fbe006e01963/"
"ErrorCheck","de81e5246978775a45f3dbda43e2716aaa1b1c4399fe7d44f918fccecc4dd500","Lazarus,machO,RustBucket","https://bazaar.abuse.ch/sample/de81e5246978775a45f3dbda43e2716aaa1b1c4399fe7d44f918fccecc4dd500/"
